file,config,m,r,wall_clock,max_phase_sum,total_cpu,total_io,num_tasks,latency_diff,latency_ratio,speedup,processors,efficiency
mapreduceterasort_m5_r5.json,"(5,5)",5,5,23.31600022315979,23.308000087738037,101.2102,13.096599999999999,10,-0.00800013542175293,0.9996568821691035,1.0,10,0.1
mapreduceterasort_m10_r10.json,"(10,10)",10,10,23.066999912261963,23.043999910354614,174.8366,28.906000000000002,20,-0.023000001907348633,0.9990029044958239,1.0107946552150227,20,0.05053973276075113
mapreduceterasort_m15_r15.json,"(15,15)",15,15,18.04099988937378,18.020999908447266,199.4041,43.755200000000016,30,-0.019999980926513672,0.9988914150518734,1.2923895774143321,30,0.04307965258047774
mapreduceterasort_m20_r20.json,"(20,20)",20,20,14.674999952316284,13.776999950408936,186.25479999999996,64.4951,40,-0.8980000019073486,0.9388074954122497,1.5888245518855775,40,0.03972061379713944
