file,config,m,r,wall_clock,max_phase_sum,total_cpu,total_io,num_tasks,latency_diff,latency_ratio,speedup,processors,efficiency
mapreduceterasort_m5_r5.json,"(5,5)",5,5,4.958999872207642,4.948999881744385,17.2008,5.110000000000001,10,-0.009999990463256836,0.9979834662792993,1.0,10,0.1
mapreduceterasort_m10_r5.json,"(10,5)",10,5,7.638000011444092,6.453999757766724,12.9845,7.7118,15,-1.1840002536773682,0.8449855653438899,0.6492537136393719,15,0.04328358090929146
mapreduceterasort_m15_r5.json,"(15,5)",15,5,8.818000078201294,7.947999954223633,11.9424,9.839699999999999,20,-0.8700001239776611,0.9013381587364281,0.5623724005703552,20,0.02811862002851776
